Algorithm,DataType,Structure,Size,Batches,Time
Bubble,int,Random,50,10000,0.260522
Selection,int,Random,50,10000,0.158682
Insertion,int,Random,50,10000,0.127222
Library,int,Random,50,10000,0.151197
Gnome,int,Random,50,10000,0.214413
Yeet,int,Random,50,10000,0.532384
Merge,int,Random,50,10000,0.817451
Quick,int,Random,50,10000,0.083433
std::sort,int,Random,50,10000,0.119203
Bubble,int,Sorted,50,10000,0.126676
Selection,int,Sorted,50,10000,0.119859
Insertion,int,Sorted,50,10000,0.05656
Library,int,Sorted,50,10000,0.064184
Gnome,int,Sorted,50,10000,0.063311
Yeet,int,Sorted,50,10000,0.080589
Merge,int,Sorted,50,10000,0.811656
Quick,int,Sorted,50,10000,0.248116
std::sort,int,Sorted,50,10000,0.09634
Bubble,int,Reversed,50,10000,0.242381
Selection,int,Reversed,50,10000,0.127625
Insertion,int,Reversed,50,10000,0.159141
Library,int,Reversed,50,10000,0.222111
Gnome,int,Reversed,50,10000,0.340834
Yeet,int,Reversed,50,10000,0.513552
Merge,int,Reversed,50,10000,0.804885
Quick,int,Reversed,50,10000,0.160228
std::sort,int,Reversed,50,10000,0.095022
Bubble,int,Almost_Sorted,50,10000,0.127789
Selection,int,Almost_Sorted,50,10000,0.116747
Insertion,int,Almost_Sorted,50,10000,0.056755
Library,int,Almost_Sorted,50,10000,0.059427
Gnome,int,Almost_Sorted,50,10000,0.055968
Yeet,int,Almost_Sorted,50,10000,0.221493
Merge,int,Almost_Sorted,50,10000,0.821407
Quick,int,Almost_Sorted,50,10000,0.210574
std::sort,int,Almost_Sorted,50,10000,0.088502
Bubble,int,Flat,50,10000,0.22211
Selection,int,Flat,50,10000,0.142472
Insertion,int,Flat,50,10000,0.095098
Library,int,Flat,50,10000,0.168463
Gnome,int,Flat,50,10000,0.189065
Yeet,int,Flat,50,10000,0.448409
Merge,int,Flat,50,10000,0.837674
Quick,int,Flat,50,10000,0.091936
std::sort,int,Flat,50,10000,0.118885
Bubble,int,Random,5000,1,0.160137
Selection,int,Random,5000,1,0.096784
Insertion,int,Random,5000,1,0.063524
Library,int,Random,5000,1,0.095016
Gnome,int,Random,5000,1,0.15999
Yeet,int,Random,5000,1,0.254583
Merge,int,Random,5000,1,0.031697
Quick,int,Random,5000,1,0.032109
std::sort,int,Random,5000,1,0.029832
Bubble,int,Sorted,5000,1,0.096282
Selection,int,Sorted,5000,1,0.096417
Insertion,int,Sorted,5000,1,0.030869
Library,int,Sorted,5000,1,0.029202
Gnome,int,Sorted,5000,1,0.030098
Yeet,int,Sorted,5000,1,0.032089
Merge,int,Sorted,5000,1,0.032251
Quick,int,Sorted,5000,1,0.18941
std::sort,int,Sorted,5000,1,0.031671
Bubble,int,Reversed,5000,1,0.215699
Selection,int,Reversed,5000,1,0.083897
Insertion,int,Reversed,5000,1,0.127475
Library,int,Reversed,5000,1,0.190296
Gnome,int,Reversed,5000,1,0.279882
Yeet,int,Reversed,5000,1,0.221182
Merge,int,Reversed,5000,1,0.032061
Quick,int,Reversed,5000,1,0.127505
std::sort,int,Reversed,5000,1,0.031942
Bubble,int,Almost_Sorted,5000,1,0.093434
Selection,int,Almost_Sorted,5000,1,0.095858
Insertion,int,Almost_Sorted,5000,1,0.031438
Library,int,Almost_Sorted,5000,1,0.032166
Gnome,int,Almost_Sorted,5000,1,0.032179
Yeet,int,Almost_Sorted,5000,1,0.281289
Merge,int,Almost_Sorted,5000,1,0.031773
Quick,int,Almost_Sorted,5000,1,0.030014
std::sort,int,Almost_Sorted,5000,1,0.031977
Bubble,int,Flat,5000,1,0.156581
Selection,int,Flat,5000,1,0.096159
Insertion,int,Flat,5000,1,0.063492
Library,int,Flat,5000,1,0.093709
Gnome,int,Flat,5000,1,0.127792
Yeet,int,Flat,5000,1,0.20694
Merge,int,Flat,5000,1,0.031746
Quick,int,Flat,5000,1,0.030134
std::sort,int,Flat,5000,1,0.032356
Bubble,int,Random,1000000,1,-1
Selection,int,Random,1000000,1,-1
Insertion,int,Random,1000000,1,-1
Library,int,Random,1000000,1,-1
Gnome,int,Random,1000000,1,-1
Yeet,int,Random,1000000,1,-1
Merge,int,Random,1000000,1,2.80687
Quick,int,Random,1000000,1,0.4262
std::sort,int,Random,1000000,1,0.533386
std::sort(par),int,Random,1000000,1,0.328488
Bubble,int,Flat,1000000,1,-1
Selection,int,Flat,1000000,1,-1
Insertion,int,Flat,1000000,1,-1
Library,int,Flat,1000000,1,-1
Gnome,int,Flat,1000000,1,-1
Yeet,int,Flat,1000000,1,-1
Merge,int,Flat,1000000,1,2.72801
std::sort,int,Flat,1000000,1,0.517622
std::sort(par),int,Flat,1000000,1,0.297279
Bubble,std::string,Random,5000,1,0.308074
Selection,std::string,Random,5000,1,0.313522
Insertion,std::string,Random,5000,1,0.187209
Library,std::string,Random,5000,1,0.124558
Gnome,std::string,Random,5000,1,0.345533
Yeet,std::string,Random,5000,1,1.08917
Merge,std::string,Random,5000,1,0.06294
Quick,std::string,Random,5000,1,0.029584
std::sort,std::string,Random,5000,1,0.031594
